occid,catalogNumber,family,sciname,eventDate,fieldnumber,island,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,locationRemarks,georeferencedBy,georeferenceRemarks
52539,170077,Amastridae,Amastra micans,1/1/1935,,Oahu,Waianae Mountains,21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
60955,184141,Amastridae,Amastra micans,,,Oahu,Waianae mountains {No other data},21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
50925,168504,Amastridae,Amastra micans frostii,10/28/2014,,Oahu,Waianae Mountains,21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
51810,169369,Amastridae,Amastra micans frostii,,,Oahu,Waianae Mountains,21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
51870,169431,Amastridae,Amastra micans frostii,1892-01-01,,Oahu,Waianae Mountains,21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
60954,184140,Amastridae,Amastra micans frostii,,,Oahu,Waianae mountains {No other data},21.48698,-158.147594,WGS84,16279,,jan_kealoha (2023-06-07 19:29:30),Update encompasses entire mountain range
1365019,578,Amastridae,Amastra micans,,HAWAII,,Hawaii,19.603528,-155.574158,WGS84,82268,,kuuleialohamia,
1373195,115027,Amastridae,Amastra micans,,FMNH115027,,Hawaii,19.603528,-155.574158,WGS84,82268,,kuuleialohamia,
1285611,240821,Amastridae,Amastra frosti,3/31/1932,,Oahu,ridge between Palikea and Green Peak,21.408609,-158.098348,WGS84,722,,kuuleialohamia,
1285619,240824,Amastridae,Amastra frosti,,,Oahu,Ridge between Pohakea and Green Peak,21.422752,-158.094057,WGS84,1538,,kuuleialohamia,
1285565,240816,Amastridae,Amastra frosti,,,Oahu,"Hawaiian Islands, Oahu, Pohakea",21.42908,-158.090592,WGS84,854,,kuuleialohamia,
1350915,540839,Amastridae,Amastra micans,,,Oahu,"Oahu, S Waianae Range, near Mount Ekahanui summit",21.432454,-158.087835,WGS84,822,,kuuleialohamia,
44226,133688,Amastridae,Amastra micans,,,Oahu,Waianae Mountains; Ekahanui Valley 5 = Kanehoa center branch near head south slope,21.445955,-158.095365,WGS84,1050,,kuuleialohamia,
72494,210468,Amastridae,Amastra micans,9/28/1947,,Oahu,Waianae Mountains; East Ekahanui Gulch; Loc. 21,21.446275,-158.093477,WGS84,902,,kuuleialohamia,
44161,133623,Amastridae,Amastra frostii,5/14/1933,,Oahu,"Waianae Mountains; Huliwai Gulch; South slope opposite upper forks, North slope of side riged",21.44824,-158.079048,WGS84,2717,,kuuleialohamia,
1379783,146157,Amastridae,Amastra micans,,,,Oahu,21.449192,-157.95309,WGS84,36212,,kuuleialohamia,
63894,190807,Amastridae,Amastra micans,12/7/1941,,Oahu,Waianae Mountains; Mt. Kanehoa. SEE MAP,21.453741,-158.09554,WGS84,150,,sunray1 (2023-05-11 19:59:04),
148176,37090,Amastridae,Amastra micans frostii,9/17/1914,,Oahu,Waianae Mts.; Kanehoa; 2nd valley E of peak,21.453986,-158.089581,WGS84,1050,,kuuleialohamia,
60994,184180,Amastridae,Amastra micans,,,Oahu,Waianae Mountains; Kanehoa; West branch; Loc. 5,21.456548,-158.088661,WGS84,1733,,kuuleialohamia,
1336823,158557,Amastridae,Amastra frosti,,,Oahu,"Puu Kanehoa, Waianae Mountains",21.4586,-158.087874,WGS84,1536,,kuuleialohamia,
1379605,146155,Amastridae,Amastra micans,,,,Waianae Range,21.46031,-158.126313,WGS84,8150,,kuuleialohamia,
1379820,214696,Amastridae,Amastra micans,,,,Waianae Range,21.46031,-158.126313,WGS84,8150,,kuuleialohamia,
1380047,146156,Amastridae,Amastra micans,,,,Waianae Range,21.46031,-158.126313,WGS84,8150,,kuuleialohamia,
1365338,75328,Amastridae,Amastra micans,,FMNH75328,Oahu,Oahu,21.46389,-157.95309,WGS84,36721,,sunray1,
1365637,87530,Amastridae,Amastra micans,,FMNH87530,Oahu,Oahu,21.46389,-157.95309,WGS84,36721,,sunray1,
1365810,87617,Amastridae,Amastra micans,,FMNH87617,Oahu,Oahu,21.46389,-157.95309,WGS84,36721,,sunray1,
1373052,87631,Amastridae,Amastra micans,,FMNH87631,Oahu,Oahu,21.46389,-157.95309,WGS84,36721,,sunray1,
1290658,345995,Amastridae,Paramastra frosti,1901-00-00,,Oahu,Oahu,21.46389,-157.95309,WGS84,36721,,sunray1,
